Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/03/2022,20:25:37.999,0,0,0,0,0,272.171,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:38.999,0,0,0,0,0,272.192,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:39.999,0,0,0,0,0,272.202,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:40.998,0,0,0,0,0,272.21,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:42.999,0,0,0,0,0,272.24,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:43.999,0,0,0,0,0,272.243,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:44.999,0,0,0,0,0,272.245,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:45.999,0,0,0,0,0,272.246,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:47.198,0,0,0,0,0,272.249,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:47.999,0,0,0,0,0,272.246,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:48.999,5,0,0,0,0,272.013,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:50.198,5,0,0,0,0,271.96,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:50.999,5,0,0,0,0,272.089,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:53.198,5,0,0,0,0,271.883,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:54.198,5,0,0,0,0,271.799,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:55.198,5,0,0,0,0,271.762,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:56.198,5,0,0,0,0,271.738,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:57.199,6,0,0,0,0,271.703,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:58.198,6,0,0,0,0,271.678,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:25:59.198,6,0,0,0,0,271.664,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:26:00.198,6,0,0,0,0,271.652,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2022,20:26:01.198,6,0,0,0,0,271.674,0,0,0,0,0,0,0,0,0,0,0,0,0
