Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),OCB Temp (C),port On,port rudder position, port throttle cmd,stbd On,stbd rudder position, stbd throttle cmd,Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCB Temp (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCB Temp (C) stbd,Error Code stbd
1/4/2022,17:47:23,15,1.5,30.30222,-89.07739,0.64,200.6,183.3,35,1,-37,0,1,-34,0,27.6,0,83,48,23, 0x0,27.6,0,83,48,21, 0x0
1/4/2022,17:47:24,15,1.6,30.30221,-89.07739,0.94,201.6,211,34.8,1,-33,0,1,-34,0,27.6,0,83,48,23, 0x0,27.6,0,83,48,21, 0x0
1/4/2022,17:47:25,15,1.6,30.30221,-89.07739,0.92,203.3,178.3,35,0,-33,0,0,-30,0,27.6,0,83,48,23, 0x0,27.6,0,83,48,21, 0x0
1/4/2022,17:47:26,15,1.6,30.30221,-89.07739,0.59,204.4,206.8,35,0,-33,0,0,-26,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
1/4/2022,17:47:27,15,1.6,30.3022,-89.07739,0.79,205.2,211.3,35,0,-33,0,0,-34,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
1/4/2022,17:47:29,15,1.6,30.3022,-89.07739,0.95,206.4,196.5,35,0,-37,0,0,-30,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
1/4/2022,17:47:30,15,1.6,30.3022,-89.07739,0.63,207,206.8,35,0,-37,0,0,-34,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
1/4/2022,17:47:31,15,1.6,30.30219,-89.0774,0.68,207.8,202.5,34.8,0,-25,0,0,-30,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
1/4/2022,17:47:32,15,1.6,30.30219,-89.0774,0.76,208.9,204.5,35,0,-29,0,0,-30,0,0,0,0,0,0, 0x0,0,0,0,0,0, 0x0
1/4/2022,17:47:33,15,1.6,30.30219,-89.0774,0.66,210.2,214.4,35,1,-33,0,1,-30,0,27.6,0,0,0,0, 0x0,27.6,0,0,0,0, 0x0
1/4/2022,17:47:34,15,1.6,30.30218,-89.0774,0.77,211.4,196.8,35,1,-29,0,1,-26,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:35,15,1.6,30.30218,-89.0774,0.71,214,182.7,35,1,-37,0,1,-38,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:36,15,1.6,30.30218,-89.07741,0.57,216.5,228.3,35,1,-25,0,1,-30,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:37,15,1.6,30.30218,-89.07741,0.65,218.3,213,35,1,-37,0,1,-34,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:38,15,1.6,30.30217,-89.07741,0.73,219.5,195.6,35,1,-33,0,1,-34,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:39,15,1.6,30.30217,-89.07741,0.68,221.5,187.7,34.8,1,-29,0,1,-34,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:40,15,1.6,30.30217,-89.07741,0.66,222.6,226.1,35,1,-29,0,1,-30,0,27.6,0,83,47,21, 0x0,27.6,0,83,47,20, 0x0
1/4/2022,17:47:41,15,1.6,30.30216,-89.07741,0.74,223.6,204.6,34.8,1,-37,0,1,-30,0,27.6,0,83,47,21, 0x0,27.6,0,83,46,20, 0x0
1/4/2022,17:47:42,15,1.6,30.30216,-89.07741,0.66,225.4,209.2,35,1,-33,0,1,-30,0,27.6,0,83,46,21, 0x0,27.6,0,83,46,20, 0x0
1/4/2022,17:47:43,15,1.6,30.30216,-89.07742,0.63,225.6,218.5,35,1,-33,0,1,-14,0,27.6,0,83,46,21, 0x0,27.6,0,83,46,20, 0x0
